feature_idx,feature_type,bert_score,finbert_score,score_change,score_change_pct,bert_financial,finbert_financial,financial_change,financial_change_pct,bert_general,finbert_general,bert_specialization,finbert_specialization,specialization_change
86,General,0.3029424548149109,0.4784854054450989,0.175542950630188,57.945972193775106,0.30887812,0.5150557,0.20617759,66.75046682357788,0.273264,0.295634,0.035614133,0.24179173,0.20617759
160,General,0.17874759435653687,0.37146010994911194,0.19271251559257507,107.81264849259075,0.16172366,0.36464006,0.2029164,125.47106742858887,0.2638672,0.40556034,-0.10214354,0.10077286,0.2029164
114,General,0.08285760059952736,0.29057714343070984,0.2077195428311825,250.69461501202022,0.08186064,0.28382197,0.20196134,246.71361446380615,0.1430808,0.32435304,-0.06122016,0.14074117,0.20196134
126,General,0.8791137933731079,1.0058577060699463,0.12674391269683838,14.417236272738872,0.892715,1.0887828,0.19606781,21.96309119462967,0.811108,0.59123254,0.081606984,0.2776748,0.19606781
102,General,0.4851464033126831,0.6630287766456604,0.1778823733329773,36.66571000389955,0.45623502,0.64411664,0.18788162,41.18088483810425,0.6297034,0.7575898,-0.17346838,0.014413238,0.18788162
15,General,0.20581713318824768,0.3726295530796051,0.16681241989135742,81.04885016486205,0.16986446,0.35411727,0.18425281,108.47048759460449,0.38558048,0.46519107,-0.21571602,-0.031463206,0.18425281
138,General,0.3986808955669403,0.5711756348609924,0.17249473929405212,43.26636696467676,0.4129997,0.59537214,0.18237245,44.15801167488098,0.327087,0.45019308,0.085912704,0.26828516,0.18237245
198,General,0.18619579076766968,0.3529006838798523,0.16670489311218262,89.53204174212117,0.20336579,0.37886637,0.17550059,86.29798889160156,0.100345805,0.22307244,0.10301998,0.27852058,0.1755006
185,General,0.3639189302921295,0.5488078594207764,0.18488892912864685,50.80497708108521,0.37633812,0.53658736,0.16024923,42.581185698509216,0.30182308,0.60991037,0.074515045,0.23476428,0.16024923
197,General,0.479164183139801,0.6032324433326721,0.1240682601928711,25.89264067691656,0.46460503,0.6245103,0.15990525,34.41745936870575,0.55196023,0.4968432,-0.0873552,0.07255006,0.15990525
96,General,0.4514230787754059,0.6380614042282104,0.18663832545280457,41.344435902370364,0.41171822,0.563983,0.1522648,36.98277175426483,0.64994717,1.0084532,-0.23822895,-0.08596414,0.1522648
143,General,0.00021389569155871868,0.11688883801301321,0.11667494232145449,54547.5888135993,0.002481768,0.15471976,0.15223798,6134.255218505859,0.0004249012,0.035631616,0.0020568667,0.15429485,0.15223798
190,General,0.35622116923332214,0.4769706428050995,0.12074947357177734,33.89733233195003,0.37649688,0.51749545,0.14099857,37.45012879371643,0.25484246,0.27434677,0.12165442,0.262653,0.14099857
66,General,0.7961626648902893,0.8745306730270386,0.07836800813674927,9.843215663415759,0.8287004,0.96671456,0.13801414,16.654285788536072,0.63347447,0.41361094,0.19522595,0.3332401,0.13801414
177,General,0.0892932931582133,0.1860589454571406,0.09676565229892731,108.36833190536963,0.106748275,0.2413734,0.13462514,126.1145830154419,0.04028693,0.081233375,0.06646135,0.20108648,0.13462514
196,General,0.5989500284194946,0.7098674774169922,0.11091744899749756,18.518648256881427,0.5749748,0.7078379,0.1328631,23.10764044523239,0.7188262,0.7200154,-0.1438514,-0.010988295,0.1328631
71,General,0.05619784941275914,0.21464258432388306,0.15844473491112393,281.9409222359863,0.07952955,0.20950149,0.12997194,163.4259581565857,0.06215285,0.24034819,0.017376702,0.14734864,0.12997194
30,General,0.17189715802669525,0.2900046706199646,0.11810751259326935,68.70824040902846,0.18410164,0.31207904,0.1279774,69.51453685760498,0.11087477,0.1796329,0.07322687,0.20120427,0.1279774
92,General,0.13242804209391276,0.2902586758136749,0.15783063371976216,119.18218469758459,0.1525133,0.2745902,0.1220769,80.04344701766968,0.08875664,0.3686009,0.06375665,0.18583354,0.12207689
49,General,0.12086983770132065,0.24616143107414246,0.1252915933728218,103.65827881925983,0.1291069,0.25058845,0.12148155,94.09377574920654,0.0796846,0.22402653,0.049422294,0.17090385,0.12148155
119,Consistent Financial,0.33631742000579834,0.42398472627003986,0.08766730626424152,26.066834796345095,0.38841292,0.5083639,0.11995098,30.88233470916748,0.07583984,0.18379651,0.31257308,0.43252406,0.11995098
40,General,0.4132433831691742,0.5910574793815613,0.17781409621238708,43.02890341491403,0.40484855,0.52234334,0.11749479,29.021912813186646,0.45521745,0.93462783,-0.050368905,0.06712589,0.11749479
5,General,0.21402746438980103,0.35527461767196655,0.14124715328216553,65.99487298738298,0.20790258,0.32164857,0.11374599,54.71119284629822,0.24465184,0.52340496,-0.03674926,0.07699673,0.11374599
75,General,0.2735607922077179,0.34949544072151184,0.07593464851379395,27.757869795952296,0.27018,0.37885165,0.108671665,40.22195339202881,0.29046464,0.20271464,-0.020284653,0.08838701,0.108671665
73,General,0.2129540741443634,0.32881829142570496,0.11586421728134155,54.40807730346413,0.1847353,0.29324704,0.108511746,58.73904228210449,0.354048,0.50667447,-0.16931272,-0.06080097,0.108511746
3,General,0.2805168330669403,0.3702017366886139,0.08968490362167358,31.971309044499264,0.25918743,0.36716396,0.107976526,41.659629344940186,0.38716394,0.38539082,-0.1279765,-0.01999998,0.107976526
192,General,0.09310214966535568,0.20113010704517365,0.10802795737981796,116.03164671074866,0.09040768,0.19826983,0.10786215,119.30640935897827,0.10657451,0.2154316,-0.016166836,0.091695316,0.10786215
170,General,0.21814244985580444,0.29623109102249146,0.07808864116668701,35.797086361826786,0.2170525,0.31857908,0.10152657,46.77512049674988,0.22359212,0.18449089,-0.006539613,0.09498696,0.10152657
116,General,0.2898266911506653,0.414341539144516,0.12451484799385071,42.96182918816202,0.30957305,0.41049984,0.10092679,32.6019287109375,0.19109501,0.43354997,0.118478045,0.21940483,0.10092679
136,General,0.4531515836715698,0.5524942874908447,0.0993427038192749,21.922620906313636,0.4753834,0.5752085,0.099825084,20.99885791540146,0.34199232,0.43892366,0.13339108,0.23321617,0.099825084
17,General,0.3773227334022522,0.4026774764060974,0.025354743003845215,6.71964362582291,0.34737793,0.44495666,0.097578734,28.0900776386261,0.52704656,0.19128142,-0.17966864,-0.0820899,0.097578734
151,General,0.31909579038619995,0.38471367955207825,0.0656178891658783,20.563696276425745,0.305554,0.4017194,0.09616539,31.472468376159668,0.38680485,0.29968518,-0.08125085,0.014914542,0.09616539
78,General,0.20450638234615326,0.2662483890851339,0.061742006738980615,30.190748098254634,0.2117881,0.30379167,0.09200357,43.44133138656616,0.16809781,0.19263856,0.043690294,0.13569386,0.09200357
117,General,0.11221068352460861,0.20906655490398407,0.09685587137937546,86.31608714702666,0.11531414,0.20714891,0.09183477,79.63877320289612,0.09669342,0.21865466,0.018620722,0.11045549,0.09183477
61,General,0.232681542634964,0.3264285624027252,0.09374701976776123,40.28983936849415,0.21206741,0.2966844,0.084617004,39.900994300842285,0.3357522,0.4751494,-0.12368478,-0.039067775,0.084617004
32,General,0.11346578697363535,0.19716339111328127,0.08369760413964591,73.76461783946706,0.17328285,0.25330684,0.08002399,46.1811363697052,0.0619422,0.04788845,0.11134064,0.19136463,0.08002399
179,General,0.17307724058628082,0.21997970342636108,0.04690246284008026,27.09915103869413,0.16522606,0.24160971,0.07638365,46.229785680770874,0.21233305,0.11182962,-0.047106996,0.029276654,0.07638365
93,General,0.027957817912101748,0.07111766338348388,0.04315984547138213,154.37487148344317,0.08387345,0.15811622,0.07424277,88.51760625839233,0.0,0.009492667,0.08387345,0.15811622,0.07424277
60,General,0.2812365829944611,0.411166250705719,0.1299296677112579,46.19941912529099,0.34051722,0.4144542,0.07393697,21.71313613653183,0.24443612,0.3947265,0.09608111,0.17001808,0.07393697
62,General,0.13757163286209106,0.20849043130874634,0.07091879844665527,51.55045191456581,0.13214605,0.20566456,0.073518515,55.63428997993469,0.16469963,0.22261992,-0.032553583,0.04096493,0.073518515
137,General,0.2903730571269989,0.34925758838653564,0.05888453125953674,20.278923892647082,0.29095423,0.363549,0.07259476,24.950577318668365,0.28746712,0.27780074,0.0034871101,0.07608187,0.07259476
63,General,0.15998584032058716,0.22482642531394958,0.06484058499336243,40.52895235192803,0.15076447,0.22149698,0.07073252,46.91590964794159,0.20609269,0.24147364,-0.05532822,0.015404299,0.07073252
100,General,0.7427082061767578,0.7707582712173462,0.02805006504058838,3.7767274963854,0.63693196,0.7044495,0.06751752,10.600429028272629,1.2715893,1.1023026,-0.6346573,-0.5671398,0.06751752
182,General,0.3807445168495178,0.42722001671791077,0.046475499868392944,12.2064790986239,0.35988513,0.42724952,0.067364395,18.718305230140686,0.48504147,0.4270727,-0.12515634,-0.05779195,0.067364395
90,General,0.20372937172651293,0.30695074796676636,0.10322137624025343,50.66592772828956,0.2246418,0.2844609,0.059819102,26.628661155700684,0.23498678,0.41940007,-0.010344982,0.04947412,0.059819102
22,General,0.3892177591721217,0.41125017404556274,0.022032414873441042,5.660691053847254,0.38466233,0.44104546,0.056383133,14.657825231552124,0.49252257,0.2622738,-0.10786024,-0.051477104,0.056383133
112,General,0.17063680291175842,0.22650405764579773,0.05586725473403931,32.74044859064196,0.187218,0.24177283,0.054554835,29.139739274978638,0.08773079,0.15016012,0.09948721,0.15404204,0.054554828
124,General,0.37979018688201904,0.35953980684280396,-0.020250380039215088,-5.3319913833123405,0.3477809,0.3923571,0.044576198,12.817321717739105,0.5398366,0.19545351,-0.19205567,-0.14747947,0.044576198
173,General,0.26204878091812134,0.3122008442878723,0.05015206336975098,19.138445595524935,0.28967112,0.33275682,0.043085694,14.874003827571869,0.12393719,0.20942095,0.16573393,0.20881963,0.043085694
87,General,0.1237344890832901,0.14098491221666337,0.01725042313337327,13.941483301201007,0.1248297,0.1678185,0.0429888,34.437957406044006,0.118258476,0.10080687,0.006571226,0.049560025,0.0429888
