layer,feature_idx,rank,type,bert_total,finbert_total,improvement,improvement_percentage,top_category,top_category_improvement
3,10059,5,decreasing,7.353813886642456,5.499916702508926,-1.8538971841335297,-25.210009529612478,,0.0
3,23729,6,decreasing,5.400032341480255,3.554763674736023,-1.8452686667442322,-34.17143725515659,,0.0
3,12713,7,decreasing,6.69538089632988,4.867831707000732,-1.8275491893291473,-27.295671671216855,,0.0
3,10677,8,decreasing,4.961773335933685,3.148776948451996,-1.8129963874816895,-36.5392826531968,,0.0
3,858,9,decreasing,5.424604624509811,3.6195331513881683,-1.805071473121643,-33.27563195367797,,0.0
3,24488,10,decreasing,5.065290838479996,3.295835167169571,-1.7694556713104248,-34.932952997978525,,0.0
4,15578,1,improving,2.3182550966739655,4.439700156450272,2.121445059776306,91.51042323465317,credit_lending,0.21394525468349457
4,16957,2,improving,4.533215582370758,6.516052156686783,1.9828365743160248,43.740178112266904,currency_forex,0.2367834746837616
4,2143,3,improving,2.756723865866661,4.6922720074653625,1.9355481415987015,70.21189748248553,market_movements,0.1805974841117859
4,5505,4,improving,2.565624974668026,4.394955977797508,1.8293310031294823,71.3015742386912,regulatory_compliance,0.19319957494735718
4,4460,5,improving,2.5342191010713577,4.351331204175949,1.8171121031045914,71.70303842971161,economic_indicators,0.21560867130756378
4,16724,6,improving,2.9639404118061066,4.77086877822876,1.8069283664226532,60.96372090102889,economic_indicators,0.18030279874801636
4,4093,7,improving,2.684779554605484,4.447655290365219,1.762875735759735,65.66184274494735,credit_lending,0.20675250887870789
4,16270,8,improving,1.4673760272562504,3.1977244913578033,1.730348464101553,117.92127036073299,regulatory_compliance,0.20528633892536163
4,9403,9,improving,2.503137543797493,4.227012425661087,1.723874881863594,68.86856374506128,currency_forex,0.189773291349411
4,4983,10,improving,3.403008535504341,5.121447950601578,1.7184394150972366,50.497652066358725,corporate_finance,0.18994441628456116
4,10059,1,decreasing,7.88611376285553,5.6735774874687195,-2.2125362753868103,-28.056103920317394,,0.0
4,13225,2,decreasing,6.013272851705551,3.8602486699819565,-2.1530241817235947,-35.80453159600893,,0.0
4,17642,3,decreasing,4.1099578738212585,2.1713719367980957,-1.9385859370231628,-47.168024389114926,,0.0
4,16512,4,decreasing,5.365186810493469,3.477259263396263,-1.8879275470972061,-35.188477312399755,,0.0
4,1984,5,decreasing,5.709932893514633,3.9079328924417496,-1.8020000010728836,-31.55903986128627,,0.0
4,13364,6,decreasing,5.88290947675705,4.102853178977966,-1.7800562977790833,-30.258094260776026,,0.0
4,858,7,decreasing,5.580628663301468,3.801279440522194,-1.779349222779274,-31.884386633569388,,0.0
4,13642,8,decreasing,3.9126801788806915,2.1381936073303223,-1.7744865715503693,-45.35220068824486,,0.0
4,20237,9,decreasing,5.86745622754097,4.105909824371338,-1.761546403169632,-30.022318562837548,,0.0
4,21258,10,decreasing,4.98689877986908,3.2279238998889923,-1.7589748799800873,-35.271918562964565,,0.0
5,2143,1,improving,3.721378281712532,5.8399160504341125,2.1185377687215805,56.9288473961258,corporate_finance,0.20967690646648407
5,19099,2,improving,2.931379348039627,4.84499317407608,1.9136138260364532,65.28032002368302,currency_forex,0.23268570005893707
5,10,3,improving,3.9811384081840515,5.869170039892197,1.8880316317081451,47.4244156667466,commodities_trading,0.18354913592338562
5,8045,4,improving,2.3135306984186172,4.188071995973587,1.8745412975549698,81.02513144665745,commodities_trading,0.19922231137752533
5,14552,5,improving,1.5937984883785248,3.4532728642225266,1.8594743758440018,116.66935172393289,currency_forex,0.2038303166627884
5,9877,6,improving,3.14089497923851,4.949794322252274,1.8088993430137634,57.591844019348116,currency_forex,0.2023494392633438
5,16270,7,improving,1.2487702406942844,3.047599211335182,1.7988289706408978,144.04803202516993,credit_lending,0.20814941823482513
5,5168,8,improving,1.5347157940268517,3.3164573311805725,1.7817415371537209,116.09586168844504,interest_rates_monetary,0.19857600331306458
5,3903,9,improving,3.2690431475639343,5.019894510507584,1.7508513629436493,53.55852702319079,regulatory_compliance,0.18733319640159607
5,12693,10,improving,3.6343866139650345,5.330016642808914,1.6956300288438797,46.65519121336588,commodities_trading,0.1942037045955658
5,21378,1,decreasing,7.330209404230118,4.425451427698135,-2.9047579765319824,-39.62721680083222,,0.0
5,10059,2,decreasing,7.932154595851898,5.645186543464661,-2.2869680523872375,-28.831612166258598,,0.0
5,18949,3,decreasing,7.403607547283173,5.230503022670746,-2.1731045246124268,-29.35196804799131,,0.0
5,1803,4,decreasing,5.759778618812561,3.690012112259865,-2.0697665065526962,-35.93482735949177,,0.0
5,23831,5,decreasing,6.147551208734512,4.158399373292923,-1.9891518354415894,-32.35681598519582,,0.0
5,23873,6,decreasing,4.3463447242975235,2.361123986542225,-1.9852207377552986,-45.675639166163826,,0.0
5,13175,7,decreasing,3.7861765325069427,1.8436557576060295,-1.9425207749009132,-51.30560482567227,,0.0
5,17642,8,decreasing,4.364540249109268,2.428970143198967,-1.9355701059103012,-44.34762863902004,,0.0
5,13663,9,decreasing,4.677897781133652,2.7896369248628616,-1.88826085627079,-40.36558600852168,,0.0
5,16453,10,decreasing,3.6040829718112946,1.7386135011911392,-1.8654694706201553,-51.75989232308494,,0.0
6,16270,1,improving,1.077034741640091,2.9487051963806152,1.8716704547405243,173.77995017248747,credit_lending,0.23342573642730713
6,11916,2,improving,2.3903658986091614,4.2399193197488785,1.849553421139717,77.3753262828235,earnings_analysis,0.2118646204471588
6,1565,3,improving,2.749074012041092,4.595868825912476,1.8467948138713837,67.17879544400928,regulatory_compliance,0.23081320524215698
6,1986,4,improving,2.438441038131714,4.285039931535721,1.846598893404007,75.72866667491654,investment_strategies,0.2309299260377884
6,8092,5,improving,4.022319793701172,5.826992213726044,1.8046724200248718,44.866457867529256,interest_rates_monetary,0.2061488926410675
6,2143,6,improving,4.123009696602821,5.924045979976654,1.8010362833738327,43.68256229155976,commodities_trading,0.20529600977897644
6,3889,7,improving,1.8340216130018234,3.5573617666959763,1.7233401536941528,93.96509463577026,interest_rates_monetary,0.20678089559078217
6,16486,8,improving,2.962245389819145,4.6804419457912445,1.7181965559720993,58.00318083292495,credit_lending,0.19931940734386444
6,5649,9,improving,2.7950312197208405,4.464128196239471,1.669096976518631,59.71657700172944,investment_strategies,0.1756489872932434
6,4983,10,improving,4.171376556158066,5.8337956964969635,1.6624191403388977,39.85301048641658,interest_rates_monetary,0.1641758382320404
6,21378,1,decreasing,6.471142262220383,3.704062655568123,-2.76707960665226,-42.76029625450991,,0.0
6,1803,2,decreasing,5.6996530294418335,3.2882926166057587,-2.411360412836075,-42.30714389366093,,0.0
6,23831,3,decreasing,6.461191952228546,4.093703389167786,-2.3674885630607605,-36.64166885771002,,0.0
6,15893,4,decreasing,5.032142907381058,2.894075185060501,-2.1380677223205566,-42.48821540691254,,0.0
6,10059,5,decreasing,7.99550473690033,5.881839066743851,-2.113665670156479,-26.435675258349356,,0.0
6,18949,6,decreasing,7.742530584335327,5.638379365205765,-2.1041512191295624,-27.176530896358663,,0.0
6,18938,7,decreasing,5.227350056171417,3.1288204938173294,-2.098529562354088,-40.14518897317852,,0.0
6,3544,8,decreasing,4.12353353202343,2.0462014228105545,-2.0773321092128754,-50.37747572664396,,0.0
6,19177,9,decreasing,3.62723970413208,1.5670838057994843,-2.060155898332596,-56.79679482737321,,0.0
6,13175,10,decreasing,4.709987282752991,2.650347575545311,-2.0596397072076797,-43.729198810721606,,0.0
7,11841,1,improving,2.3643619120121,4.578066051006317,2.213704138994217,93.62797287440361,credit_lending,0.24335655570030212
7,16672,2,improving,2.295794203877449,4.330662578344345,2.034868374466896,88.6346155141725,regulatory_compliance,0.21865220367908478
7,23013,3,improving,1.8073075041174889,3.6158647388219833,1.8085572347044945,100.06914819847998,corporate_finance,0.20315879583358765
7,9877,4,improving,3.0017156451940536,4.724957078695297,1.7232414335012436,57.40855002436399,investment_strategies,0.22571462392807007
7,17009,5,improving,1.3804271258413792,3.066637836396694,1.686210710555315,122.15137378674889,corporate_finance,0.17029675841331482
7,19233,6,improving,1.8889046013355255,3.5583443641662598,1.6694397628307343,88.38136943561055,regulatory_compliance,0.19539715349674225
7,19358,7,improving,2.3684403002262115,4.001901149749756,1.6334608495235443,68.96778620388922,corporate_finance,0.18211641907691956
7,4339,8,improving,2.422321304678917,4.02714604139328,1.604824736714363,66.25152191781318,investment_strategies,0.16398070752620697
